NO_OF_FRAMES	5500
NO_OF_CAMERAS	11
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-26, 18:32:39.510	442281.92392820
DATA_INCLUDED	6D
BODY_NAMES	karlax_bottompart	karlax_upperpart
BODY_FILTERS	No filter	No filter
karlax_bottompart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		karlax_upperpart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
196.19121	39.55757	950.81711	75.15526	77.85314	-178.05016	0.87940	-0.21030	-0.95315	0.21743	0.00716	-0.22390	-0.97459	0.97761	-0.20340	0.05391		207.91265	111.32095	1186.54160	-140.40273	85.24880	30.43836	0.39144	0.07141	-0.93802	0.33915	-0.04196	-0.34255	-0.93856	0.99656	0.05279	-0.06382	
196.12911	42.28600	950.72324	75.06910	77.84785	-177.87080	0.87265	-0.21036	-0.95351	0.21581	0.00782	-0.22238	-0.97493	0.97759	-0.20340	0.05424		207.72738	113.68228	1186.54884	-139.99219	85.28370	30.12767	0.39659	0.07111	-0.93862	0.33755	-0.04127	-0.34089	-0.93920	0.99661	0.05286	-0.06298	
196.12137	44.98853	950.62150	75.05192	77.71526	-177.80408	0.87048	-0.21261	-0.95323	0.21483	0.00815	-0.22158	-0.97511	0.97710	-0.20557	0.05488		207.54485	115.99083	1186.59327	-139.24454	85.28143	29.46428	0.38069	0.07162	-0.93907	0.33618	-0.04046	-0.33950	-0.93973	0.99661	0.05370	-0.06231	
196.46202	47.45065	950.55795	76.13887	78.71880	-178.64478	0.63372	-0.19557	-0.95752	0.21191	0.00463	-0.21698	-0.97616	0.98068	-0.18993	0.04687		207.54649	118.17763	1186.56618	-137.16754	85.17171	27.42286	0.44052	0.07471	-0.93907	0.33552	-0.03876	-0.33894	-0.94001	0.99645	0.05722	-0.06173	
196.38283	49.96293	950.46400	76.04163	78.57427	-178.48044	0.63141	-0.19803	-0.95730	0.21062	0.00525	-0.21591	-0.97640	0.98018	-0.19225	0.04778		207.34151	120.34577	1186.58800	-137.98701	85.34306	28.33435	0.48330	0.07146	-0.93980	0.33416	-0.03853	-0.33737	-0.94058	0.99670	0.05434	-0.06032	
196.34919	52.50517	950.34286	75.94607	78.50595	-178.30363	0.62084	-0.19918	-0.95739	0.20914	0.00590	-0.21459	-0.97669	0.97995	-0.19330	0.04839		207.12754	122.49855	1186.58825	-138.10545	85.43353	28.52356	0.48847	0.06995	-0.94030	0.33308	-0.03802	-0.33617	-0.94104	0.99683	0.05316	-0.05926	
196.27517	54.99198	950.23196	75.83384	78.38533	-178.08566	0.62074	-0.20122	-0.95738	0.20720	0.00673	-0.21287	-0.97706	0.97952	-0.19521	0.04927		206.86795	124.67808	1186.58377	-137.63174	85.43172	28.17174	0.46616	0.07021	-0.94099	0.33108	-0.03760	-0.33416	-0.94177	0.99682	0.05367	-0.05885	
196.20138	57.42409	950.15525	75.71706	78.36388	-177.89226	0.62285	-0.20156	-0.95760	0.20583	0.00742	-0.21163	-0.97732	0.97945	-0.19546	0.04976		206.68708	126.72170	1186.60044	-138.24777	85.60180	28.84500	0.50134	0.06717	-0.94149	0.33028	-0.03700	-0.33315	-0.94215	0.99706	0.05107	-0.05721	
196.14752	59.82845	950.05876	75.74542	78.21068	-177.86681	0.60434	-0.20417	-0.95727	0.20479	0.00761	-0.21074	-0.97751	0.97891	-0.19802	0.05031		206.45601	128.78258	1186.63600	-138.17279	85.61270	28.87070	0.46709	0.06699	-0.94208	0.32864	-0.03694	-0.33149	-0.94273	0.99707	0.05102	-0.05700	
196.03976	62.14294	950.01958	75.73051	78.18510	-177.77150	0.59240	-0.20460	-0.95748	0.20339	0.00796	-0.20941	-0.97780	0.97881	-0.19843	0.05047		206.29432	130.73178	1186.69467	-138.82764	85.73869	29.58800	0.49690	0.06462	-0.94257	0.32771	-0.03669	-0.33042	-0.94312	0.99724	0.04892	-0.05593	
195.87841	64.33948	950.00806	75.73058	78.17487	-177.66321	0.62323	-0.20476	-0.95784	0.20153	0.00836	-0.20760	-0.97818	0.97878	-0.19860	0.05051		206.10435	132.69303	1186.73045	-139.11452	85.78016	29.96540	0.46892	0.06375	-0.94313	0.32625	-0.03675	-0.32891	-0.94364	0.99729	0.04816	-0.05563	
195.71103	66.48096	950.00206	75.81557	78.13932	-177.69142	0.63003	-0.20537	-0.95791	0.20056	0.00828	-0.20663	-0.97839	0.97865	-0.19927	0.05036		205.96273	134.54783	1186.81774	-139.69095	85.85217	30.60235	0.48564	0.06226	-0.94356	0.32531	-0.03682	-0.32789	-0.94400	0.99738	0.04679	-0.05516	
